day,cases,cases_per_mln_cum,deaths,recovered,tests,positives,positives_tests_ratio,hospitalized,quaran,supervised,deaths_recovered_ratio
2020-03-03,0,0,0,0,25,1,0.04,68,316,4459,0
2020-03-04,1,0,0,0,92,0,0,65,349,4540,0
2020-03-05,0,0,0,0,179,0,0,92,490,5647,0
2020-03-06,4,0.1,0,0,0,0,0,128,1299,6184,0
2020-03-07,1,0.2,0,0,299,7,0.023411371,146,1548,6409,0
2020-03-08,5,0.3,0,0,230,8,0.034782609,168,932,7112,0
2020-03-09,6,0.4,0,0,246,1,0.004065041,467,1014,7110,0
2020-03-10,5,0.6,0,0,394,8,0.020304569,220,1055,9366,0
2020-03-11,9,0.8,0,0,210,22,0.104761905,317,1193,11524,0
2020-03-12,20,1.3,1,0,655,11,0.016793893,384,2736,14841,0
2020-03-13,17,1.8,1,0,1525,35,0.02295082,521,3151,17784,0
2020-03-14,36,2.7,1,0,1079,18,0.016682113,526,4413,20340,0
2020-03-15,21,3.3,0,0,0,0,0,768,7535,25816,0
2020-03-16,52,4.6,1,0,2406,94,0.039068994,734,10050,30129,0
2020-03-17,61,6.2,1,1,1616,41,0.025371287,822,37503,35853,1
2020-03-18,49,7.5,0,0,1681,59,0.035098156,923,57185,40110,0
2020-03-19,68,9.2,0,0,1876,73,0.03891258,871,76764,48660,0
2020-03-20,70,11.1,0,0,2012,74,0.036779324,898,109235,53117,0
2020-03-21,111,14,0,0,2523,111,0.043995244,1047,128919,56623,0
2020-03-22,98,16.5,2,0,2520,86,0.034126984,1084,128980,58826,0
2020-03-23,115,19.5,1,0,2771,125,0.045110069,1138,150746,51142,0
2020-03-24,152,23.5,2,0,3346,183,0.05469217,1479,167040,53426,0
2020-03-25,150,27.4,3,0,3320,128,0.038554217,1615,209208,56930,0
2020-03-26,170,31.8,3,0,4503,159,0.035309793,1606,234382,59081,0
2020-03-27,168,36.2,0,0,4607,192,0.041675711,1696,256156,58306,0
2020-03-28,249,42.7,2,0,4109,281,0.068386469,1719,265303,56585,0
2020-03-29,224,48.5,4,0,3824,188,0.04916318,1879,269307,52612,0
2020-03-30,193,53.5,9,0,4812,227,0.047173732,1900,270314,52370,0
2020-03-31,256,60.2,2,0,4382,215,0.049064354,1924,171994,50804,0
2020-04-01,243,66.5,10,0,5377,286,0.053189511,2317,183095,48093,0
2020-04-02,392,76.8,14,0,5760,516,0.089583333,2158,174997,44491,0
2020-04-03,437,88.1,14,0,5963,354,0.059366091,2303,160587,41146,0
